title,price_uf,price_clp,m2_utiles,uf_per_m2,zona_uf_m2,bedrooms_n,parking,gastos_comunes_clp,comuna,barrio,first_seen_date,publicado_fecha_est,url
Departamento Estudio En Excelente Ubicación,1223.1,50000000.0,55.0,22.24,54.0,1.0,0.0,50.0,Santiago,San Diego,2026-09-01,2026-09-01,https://www.portalinmobiliario.com/MLC-2210033553-departamento-estudio-en-excelente-ubicacion-_JM
"Depto. Primer Piso, Tres Dormitorios, Estac. Compartido",2030.3,83000000.0,87.0,23.34,51.0,3.0,1.0,,Santiago,Parque Los Reyes,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4417709810-depto-primer-piso-tres-dormitorios-estac-compartido-_JM
Departamento/3d1b/usach/estacion Central/planetario,1712.3,70000000.0,73.0,23.46,48.0,3.0,0.0,,Santiago,Barrio Yungay,2026-09-02,2026-09-03,https://www.portalinmobiliario.com/MLC-2212103597-departamento3d1busachestacion-centralplanetario-_JM
Departamento Antiguo (176985),1100.0,44968396.0,44.0,25.0,73.0,1.0,0.0,50000.0,Santiago,Centro Histórico De Santiago,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4418552946-departamento-antiguo-176985-_JM
Departamento Grande Pedro Lagos San Diego  (177976),1800.0,73584648.0,70.0,25.71,54.0,2.0,0.0,40000.0,Santiago,Parque O'Higgins,2026-09-04,2026-09-04,https://www.portalinmobiliario.com/MLC-4447964648-departamento-grande-pedro-lagos-san-diego-177976-_JM
Acogedor Depto. En Condomiino Residencial,1290.0,52735664.0,49.0,26.33,68.0,1.0,0.0,55000.0,Santiago,Barrio Yungay,2026-09-01,2026-09-01,https://www.portalinmobiliario.com/MLC-4437185782-acogedor-depto-en-condomiino-residencial-_JM
"Acogedor Departamento, Piso Doce Incluye Bodega",1761.2,72000000.0,65.0,27.1,53.0,1.0,0.0,95000.0,Santiago,Centro Histórico De Santiago,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4417963028-acogedor-departamento-piso-doce-incluye-bodega-_JM
Departamento Completamente Remodelado (144421),1650.0,67452594.0,60.0,27.5,54.0,2.0,0.0,15000.0,Santiago,Franklin - Biobío,2026-09-03,2026-09-03,https://www.portalinmobiliario.com/MLC-4445106614-departamento-completamente-remodelado-144421-_JM
Vendo Dpto. Estudio Excelente Ubicación Con Bodega,1296.5,53000000.0,45.0,28.81,74.0,1.0,0.0,50000.0,Santiago,San Diego,2026-09-01,2026-09-01,https://www.portalinmobiliario.com/MLC-2210033561-vendo-dpto-estudio-excelente-ubicacion-con-bodega-_JM
Departamento San Francisco Id: 137511,1590.0,65000000.0,55.0,28.91,61.0,2.0,0.0,5000.0,Santiago,Parque O'Higgins,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-4423667560-departamento-san-francisco-id-137511-_JM
Departamento En Santiago Argomedo Remate 24 Septiembre 2026,905.2,37006145.0,31.0,29.2,82.0,1.0,0.0,,Santiago,Santa Isabel,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4421196724-departamento-en-santiago-argomedo-remate-24-septiembre-2026-_JM
"Dúplex 87 M², 5 Terrazas, 2d, 2b, Metro O'higgins",2568.5,105000000.0,87.0,29.52,55.0,2.0,0.0,,Santiago,Parque O'Higgins,2026-08-25,,https://www.portalinmobiliario.com/MLC-4397551728-duplex-87-m-5-terrazas-2d-2b-metro-ohiggins-_JM
